"activitySegment__startLocation__latitudeE7","activitySegment__startLocation__longitudeE7","activitySegment__startLocation__sourceInfo__deviceTag","activitySegment__endLocation__latitudeE7","activitySegment__endLocation__longitudeE7","activitySegment__endLocation__sourceInfo__deviceTag","activitySegment__duration__startTimestamp","activitySegment__duration__endTimestamp","activitySegment__distance","activitySegment__activityType","activitySegment__confidence","activitySegment__activities__activityType","activitySegment__activities__probability","activitySegment__transitPath__transitStops__latitudeE7","activitySegment__transitPath__transitStops__longitudeE7","activitySegment__transitPath__transitStops__placeId","activitySegment__transitPath__transitStops__address","activitySegment__transitPath__transitStops__name","activitySegment__transitPath__stopTimesInfo__scheduleArrivalTimestamp","activitySegment__transitPath__name","activitySegment__transitPath__hexRgbColor","activitySegment__transitPath__linePlaceId","activitySegment__transitPath__stopTimesInfo__scheduledDepartureTimestamp","activitySegment__transitPath__stopTimesInfo__realtimeArrivalTimestamp","activitySegment__transitPath__stopTimesInfo__realtimeDepartureTimestamp","activitySegment__transitPath__source","activitySegment__transitPath__confidence","activitySegment__transitPath__distanceMeters","activitySegment__simplifiedRawPath__points__latE7","activitySegment__simplifiedRawPath__points__lngE7","activitySegment__simplifiedRawPath__points__accuracyMeters","activitySegment__simplifiedRawPath__points__timestamp","activitySegment__parkingEvent__location__latitudeE7","activitySegment__parkingEvent__location__longitudeE7","activitySegment__parkingEvent__location__accuracyMetres","activitySegment__parkingEvent__location__sourceInfo__deviceTag","activitySegment__parkingEvent__method","activitySegment__parkingEvent__locationSource","activitySegment__parkingEvent__timestamp","activitySegment__simplifiedRawPath__source","activitySegment__simplifiedRawPath__distanceMeters","activitySegment__waypointPath__waypoints__latE7","activitySegment__waypointPath__waypoints__lngE7","activitySegment__waypointPath__source","activitySegment__waypointPath__roadSegment__placeId","activitySegment__waypointPath__roadSegment__duration","activitySegment__waypointPath__distanceMeters","activitySegment__waypointPath__travelMode","activitySegment__waypointPath__confidence","placeVisit__location__latitudeE7","placeVisit__location__longitudeE7","placeVisit__location__placeId","placeVisit__location__address","placeVisit__location__semanticType","placeVisit__location__name","placeVisit__location__sourceInfo__deviceTag","placeVisit__location__locationConfidence","placeVisit__location__calibratedProbability","placeVisit__duration__startTimestamp","placeVisit__duration__endTimestamp","placeVisit__placeConfidence","placeVisit__childVisits__location__latitudeE7","placeVisit__childVisits__location__longitudeE7","placeVisit__childVisits__location__placeId","placeVisit__childVisits__location__address","placeVisit__childVisits__location__name","placeVisit__childVisits__location__sourceInfo__deviceTag","placeVisit__childVisits__location__locationConfidence","placeVisit__childVisits__location__calibratedProbability","placeVisit__childVisits__location__isCurrentLocation","placeVisit__childVisits__duration__startTimestamp","placeVisit__childVisits__duration__endTimestamp","placeVisit__childVisits__placeConfidence","placeVisit__childVisits__centerLatE7","placeVisit__childVisits__centerLngE7","placeVisit__childVisits__visitConfidence","placeVisit__childVisits__otherCandidateLocations__latitudeE7","placeVisit__childVisits__otherCandidateLocations__longitudeE7","placeVisit__childVisits__otherCandidateLocations__placeId","placeVisit__childVisits__otherCandidateLocations__address","placeVisit__childVisits__otherCandidateLocations__name","placeVisit__childVisits__otherCandidateLocations__locationConfidence","placeVisit__childVisits__otherCandidateLocations__calibratedProbability","placeVisit__childVisits__otherCandidateLocations__isCurrentLocation","placeVisit__childVisits__editConfirmationStatus","placeVisit__childVisits__locationConfidence","placeVisit__childVisits__placeVisitType","placeVisit__childVisits__placeVisitLevel","placeVisit__centerLatE7","placeVisit__centerLngE7","placeVisit__visitConfidence","placeVisit__otherCandidateLocations__latitudeE7","placeVisit__otherCandidateLocations__longitudeE7","placeVisit__otherCandidateLocations__placeId","placeVisit__otherCandidateLocations__address","placeVisit__otherCandidateLocations__semanticType","placeVisit__otherCandidateLocations__name","placeVisit__otherCandidateLocations__locationConfidence","placeVisit__otherCandidateLocations__calibratedProbability","placeVisit__editConfirmationStatus","placeVisit__simplifiedRawPath__points__latE7","placeVisit__simplifiedRawPath__points__lngE7","placeVisit__simplifiedRawPath__points__accuracyMeters","placeVisit__simplifiedRawPath__points__timestamp","placeVisit__simplifiedRawPath__source","placeVisit__simplifiedRawPath__distanceMeters","placeVisit__locationConfidence","placeVisit__placeVisitType","placeVisit__placeVisitImportance"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-378124446","1449638750","ChIJe2e9iMpC1moROAFy3XgYaSM","287 Lonsdale St, Melbourne VIC 3000, Australia","","Emporium Melbourne","449113335","85.700455","74.05503","2022-07-02T08:23:58Z","2022-07-02T08:36:06.163Z","MEDIUM_CONFIDENCE","","","","","","","","","","","","","","","","","","","","","","","","","","","","-378126875","1449637633","86","-378134283","1449644169","ChIJPfCchrVC1moRpqxgA-A9c_I","310 Bourke St, Melbourne VIC 3000, Australia","","David Jones - Bourke Street Mall","2.6487675","2.288839","NOT_CONFIRMED","","","","","","","70","SINGLE_PLACE","MAIN"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-378135391","1449632758","ChIJlVWPC7VC1moRwANVqtx_3eQ","350 Bourke St, Melbourne VIC 3000, Australia","","Melbourne's GPO","0.87783104","0.75854677","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-378102361","1449627652","ChIJybEw5cpC1moRFtDOajNMRFk","Cnr LaTrobe and Swanston Streets, Melbourne VIC 3000, Australia","","Melbourne Central","0.6058945","0.5235624","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-378129786","1449621841","ChIJDfGFRLVC1moR1jJPU8GV-4E","239 Elizabeth St, Melbourne VIC 3000, Australia","","JB Hi-Fi City - Elizabeth St","0.53768736","0.4646236","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-378102361","1449627652","ChIJybEw5cpC1moRFtDOajNMRFk","Cnr LaTrobe and Swanston Streets, Melbourne VIC 3000, Australia","","Melbourne Central","449113335","68.10028","81.8549","2022-07-02T08:36:06.163Z","2022-07-02T09:37:45.341Z","MEDIUM_CONFIDENCE","-378110186","1449622916","ChIJXX_-_2ND1moRtth_EE04tVQ","Shop GD086, 211 La Trobe St, Melbourne VIC 3000, Australia","Chilli India","449113335","35.722984","30.073147","","2022-07-02T08:36:42.314Z","2022-07-02T08:46:23.711Z","MEDIUM_CONFIDENCE","-378109347","1449623553","90","-378109547","1449623308","ChIJ13EFwcpC1moRNxdQY_oEpCA","360 Elizabeth St, Melbourne VIC 3000, Australia","Chilli Everest","29.698917","25.00183","","NOT_CONFIRMED","59","SINGLE_PLACE","1","-378110464","1449623064","90","-378110080","1449616794","ChIJGa6ht8pC1moRuheHo8Mu3bc","Melbourne VIC 3000, Australia","","Melbourne Central Station, Elizabeth St - Stop 5","0.76683813","0.921721","NOT_CONFIRMED","-378119567","1449622268","5","2022-07-02T08:36:06.163Z","INFERRED","124.42148108054059","54","SINGLE_PLACE","MAIN"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-378107357","1449622171","ChIJLYO4OiFD1moRpqRp-ZvMymA","360 Elizabeth St, Melbourne VIC 3000, Australia","old man pho Melbourne Central","25.65697","21.599142","","","","","","","","","-378104277","1449629153","ChIJoSu4H8tC1moR0PiopbXICdA","Melbourne VIC 3000, Australia","","Melbourne Central","0.42190966","0.50712526","","-378113282","1449620083","5","2022-07-02T08:37:06.794Z","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-378101561","1449624826","ChIJpY9j5cpC1moRVEMrbFcV750","Melbourne Central Shop 101B, L01, 211 La Trobe St, Melbourne VIC 3000, Australia","JB Hi-Fi","2.7276626","2.296264","","","","","","","","","-378106226","1449621477","ChIJF7Q2aeER1moRCyTHCSgjEsk","GD 082, Melbourne Central Shopping Centre, 211 La Trobe St, Melbourne VIC 3000, Australia","","Barkada Pinoy Streetfood","0.3166842","0.38064677","","-378109254","1449623625","11","2022-07-02T08:40:34.499Z","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-378108516","1449623445","ChIJZx4fkBxH1moRVamWT6-8nYo","Cnr LaTrobe Street and, Elizabeth St, Melbourne VIC 3000, Australia","Pretzel","2.3930097","2.0145388","","","","","","","","","-378122423","1449641023","ChIJe2e9iMpC1moROAFy3XgYaSM","287 Lonsdale St, Melbourne VIC 3000, Australia","","Emporium Melbourne","0.16220012","0.19496064","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-378107969","1449618573","ChIJkW-fvLRC1moRtCbeb0ad9n4","Level 28 Melbourne Central Tower, 360 Elizabeth St, Melbourne VIC 3000, Australia","ME Bank","2.114616","1.7801749","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-378101040","1449631410","ChIJU2bkCMtC1moR3K2Jka3EFYM","211 La Trobe St, Melbourne VIC 3000, Australia","Asian Beer Cafe","1.2998309","1.0942537","","","","","","","","","","","","","","","","","","","","","","","","","",""
"-378112444","1449617304","449113335","-378131095","1449625681","449113335","2022-07-02T09:37:45.341Z","2022-07-02T09:43:54.592Z","231","WALKING","HIGH","WALKING","90.10248184204102","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-378112525","1449617156","INFERRED","","","219.63161845077067","WALK","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","IN_PASSENGER_VEHICLE","2.6415809988975525","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-378118972","1449620208","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","IN_TRAM","1.6150588169693947","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-378131141","1449625549","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","RUNNING","1.5643620863556862","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","IN_BUS","1.313791237771511","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","STILL","0.9377980604767799","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","CYCLING","0.8643957786262035","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","IN_SUBWAY","0.6082918029278517","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","IN_TRAIN","0.31185641419142485","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","MOTORCYCLING","0.018969223310705274","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","IN_FERRY","0.009736827632877976","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","SKIING","0.008686565706739202","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","FLYING","0.0023076054276316427","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","SAILING","0.000687158262735466","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
